Customer_ID,Segment,Division,District
CUS-00001,B2C,Dhaka,Narayanganj
CUS-00002,B2C,Mymensingh,Jamalpur
CUS-00003,B2C,Khulna,Jessore
CUS-00005,B2C,Mymensingh,Mymensingh
CUS-00008,B2C,Chittagong,Feni
CUS-00009,B2C,Barishal,Patuakhali
CUS-00010,B2C,Dhaka,Narayanganj
CUS-00012,B2C,Dhaka,Gazipur
CUS-00014,B2C,Rajshahi,Pabna
CUS-00017,B2C,Chittagong,Feni
CUS-00021,B2C,Dhaka,Dhaka
CUS-00024,B2B,Dhaka,Gazipur
CUS-00025,B2C,Chittagong,Cox's Bazar
CUS-00026,B2B,Dhaka,Dhaka
CUS-00028,B2C,Barishal,Bhola
CUS-00031,B2C,Khulna,Khulna
CUS-00034,B2C,Chittagong,Chittagong
CUS-00035,B2C,Chittagong,Chittagong
CUS-00036,B2C,Dhaka,Gazipur
CUS-00039,B2B,Dhaka,Gazipur
CUS-00041,B2C,Mymensingh,Mymensingh
CUS-00042,B2C,Chittagong,Cumilla
CUS-00044,B2C,Barishal,Barishal
CUS-00046,B2C,Khulna,Khulna
CUS-00047,B2B,Sylhet,Habiganj
CUS-00048,B2C,Barishal,
CUS-00050,B2C,Chittagong,Feni
CUS-00051,B2C,Chittagong,Feni
CUS-00052,B2C,Mymensingh,Netrokona
CUS-00053,B2C,Rajshahi,Pabna
CUS-00054,B2C,Dhaka,Narayanganj
CUS-00056,B2C,Chittagong,Chittagong
CUS-00060,B2C,Barishal,Barishal
CUS-00061,B2C,Dhaka,Dhaka
CUS-00062,B2B,Sylhet,Moulvibazar
CUS-00063,B2C,Chittagong,Chittagong
CUS-00068,B2C,Chittagong,Cumilla
CUS-00070,B2C,Dhaka,Narayanganj
CUS-00071,B2C,Dhaka,Gazipur
CUS-00074,B2C,Sylhet,Habiganj
CUS-00075,B2B,Chittagong,Chittagong
CUS-00076,B2C,Dhaka,Gazipur
CUS-00077,B2C,Dhaka,Gazipur
CUS-00079,B2C,Rangpur,Kurigram
CUS-00080,B2C,Dhaka,Gazipur
CUS-00081,B2C,Mymensingh,Jamalpur
CUS-00087,B2C,Mymensingh,Jamalpur
CUS-00088,B2C,Dhaka,Dhaka
CUS-00089,B2C,Dhaka,Dhaka
CUS-00092,B2C,Dhaka,Narayanganj
CUS-00093,B2C,Dhaka,Tangail
CUS-00094,B2C,Dhaka,Tangail
CUS-00095,B2B,Sylhet,Habiganj
CUS-00096,B2C,Dhaka,Dhaka
CUS-00097,B2C,Chittagong,Chittagong
CUS-00103,B2C,Rajshahi,Bogura
CUS-00105,B2C,Chittagong,Feni
CUS-00108,B2C,Chittagong,Feni
CUS-00112,B2C,Khulna,Khulna
CUS-00113,B2C,Rangpur,Rangpur
CUS-00114,B2C,Mymensingh,Mymensingh
CUS-00115,B2C,Chittagong,Cumilla
CUS-00116,B2C,Chittagong,Chittagong
CUS-00117,B2C,Dhaka,Gazipur
CUS-00119,B2C,Dhaka,Dhaka
CUS-00121,B2B,Dhaka,Tangail
CUS-00122,B2C,Dhaka,Dhaka
CUS-00123,B2C,Chittagong,Feni
CUS-00126,B2C,Khulna,Jessore
CUS-00127,B2C,Dhaka,Gazipur
CUS-00128,B2C,Dhaka,Gazipur
CUS-00132,B2C,Dhaka,Tangail
CUS-00135,B2B,Mymensingh,Jamalpur
CUS-00136,B2C,Rangpur,Dinajpur
CUS-00140,B2C,Dhaka,Tangail
CUS-00141,B2C,Sylhet,Sylhet
CUS-00142,B2C,Rangpur,Rangpur
CUS-00143,B2C,Dhaka,Tangail
CUS-00145,B2C,Mymensingh,Netrokona
CUS-00148,B2C,Dhaka,Dhaka
CUS-00151,B2C,Rajshahi,Pabna
CUS-00153,B2C,Dhaka,Dhaka
CUS-00154,B2C,Chittagong,Cox's Bazar
