Product_ID,Category,Sub_Category,Product_Name
PROD-00001,Electronics,Smartphone,Smartphone Model-491
PROD-00002,Home_Living,Furniture,Furniture Model-360
PROD-00003,Grocery_FMCG,Beverages,Beverages Model-461
PROD-00004,Home_Living,Bedding,Bedding Model-774
PROD-00005,Garments,Kids Wear,Kids Wear Model-303
PROD-00006,Beauty_Health,Skincare,Skincare Model-386
PROD-00007,Home_Living,Decor,Decor Model-351
PROD-00008,Beauty_Health,Makeup,Makeup Model-515
PROD-00009,Electronics,Smartphone,Smartphone Model-934
PROD-00010,Electronics,Feature Phone,Feature Phone Model-417
PROD-00011,Electronics,Feature Phone,Feature Phone Model-291
PROD-00012,Books_Stationery,Office Supplies,Office Supplies Model-922
PROD-00013,Garments,T-Shirt,T-Shirt Model-999
PROD-00014,Footwear,Slipper,Slipper Model-878
PROD-00015,Grocery_FMCG,Personal Care,Personal Care Model-317
PROD-00016,Garments,Saree,Saree Model-484
PROD-00017,Electronics,Home Appliance,Home Appliance Model-750
PROD-00018,Garments,T-Shirt,T-Shirt Model-311
PROD-00019,Footwear,Formal Shoe,Formal Shoe Model-231
PROD-00020,Home_Living,Bedding,Bedding Model-423
PROD-00021,Electronics,Power Bank,Power Bank Model-395
PROD-00022,Electronics,Smartphone,Smartphone Model-760
PROD-00023,Books_Stationery,Story Book,Story Book Model-897
PROD-00024,Electronics,Laptop,Laptop Model-643
PROD-00025,Footwear,Slipper,Slipper Model-743
PROD-00026,Electronics,Feature Phone,Feature Phone Model-707
PROD-00027,Books_Stationery,Art Supplies,Art Supplies Model-214
PROD-00028,Grocery_FMCG,Rice,Rice Model-951
PROD-00029,Footwear,Slipper,Slipper Model-223
PROD-00030,Grocery_FMCG,Rice,Rice Model-370
PROD-00031,Garments,Kids Wear,Kids Wear Model-915
PROD-00032,Electronics,Laptop,Laptop Model-968
PROD-00033,Electronics,Power Bank,Power Bank Model-754
PROD-00034,Home_Living,Decor,Decor Model-533
PROD-00035,Garments,Panjabi,Panjabi Model-903
PROD-00036,Home_Living,Furniture,Furniture Model-592
PROD-00037,Grocery_FMCG,Rice,Rice Model-614
PROD-00038,Garments,Kurti,Kurti Model-266
PROD-00039,Garments,T-Shirt,T-Shirt Model-766
PROD-00040,Footwear,Sneaker,Sneaker Model-350
PROD-00041,Grocery_FMCG,Cooking Oil,Cooking Oil Model-263
PROD-00042,Home_Living,Bedding,Bedding Model-114
PROD-00043,Garments,T-Shirt,T-Shirt Model-168
PROD-00044,Garments,Kurti,Kurti Model-939
PROD-00045,Home_Living,Decor,Decor Model-731
PROD-00046,Grocery_FMCG,Cooking Oil,Cooking Oil Model-679
PROD-00047,Grocery_FMCG,Cooking Oil,Cooking Oil Model-653
PROD-00048,Garments,Kids Wear,Kids Wear Model-660
PROD-00049,Grocery_FMCG,Beverages,Beverages Model-202
PROD-00050,Garments,Panjabi,Panjabi Model-598
PROD-00051,Books_Stationery,Notebook,Notebook Model-744
PROD-00052,Books_Stationery,Art Supplies,Art Supplies Model-556
PROD-00053,Beauty_Health,Haircare,Haircare Model-216
PROD-00054,Beauty_Health,Haircare,Haircare Model-178
PROD-00055,Garments,Kurti,Kurti Model-103
PROD-00056,Garments,T-Shirt,T-Shirt Model-220
PROD-00057,Garments,Jeans,Jeans Model-444
PROD-00058,Garments,Jeans,Jeans Model-565
PROD-00059,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-173
PROD-00060,Electronics,Power Bank,Power Bank Model-249
PROD-00061,Garments,Jeans,Jeans Model-693
PROD-00062,Electronics,Headphone,Headphone Model-975
PROD-00063,Electronics,Laptop,Laptop Model-929
PROD-00064,Electronics,Laptop,Laptop Model-404
PROD-00065,Garments,Kurti,Kurti Model-621
PROD-00066,Grocery_FMCG,Rice,Rice Model-130
PROD-00067,Garments,Saree,Saree Model-412
PROD-00068,Garments,Panjabi,Panjabi Model-865
PROD-00069,Garments,Jeans,Jeans Model-877
PROD-00070,Electronics,Headphone,Headphone Model-801
PROD-00071,Electronics,Headphone,Headphone Model-472
PROD-00072,Beauty_Health,Supplements,Supplements Model-934
PROD-00073,Footwear,Formal Shoe,Formal Shoe Model-701
PROD-00074,Electronics,Smart Watch,Smart Watch Model-978
PROD-00075,Garments,Panjabi,Panjabi Model-252
PROD-00076,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-943
PROD-00077,Electronics,Laptop,Laptop Model-918
PROD-00078,Electronics,Home Appliance,Home Appliance Model-710
PROD-00079,Garments,Kids Wear,Kids Wear Model-710
PROD-00080,Footwear,Sandal,Sandal Model-358
PROD-00081,Garments,Jeans,Jeans Model-872
PROD-00082,Grocery_FMCG,Rice,Rice Model-646
PROD-00083,Garments,T-Shirt,T-Shirt Model-653
PROD-00084,Grocery_FMCG,Cleaning Supplies,Cleaning Supplies Model-532
PROD-00085,Grocery_FMCG,Personal Care,Personal Care Model-882
PROD-00086,Electronics,Smart Watch,Smart Watch Model-857
PROD-00087,Garments,T-Shirt,T-Shirt Model-147
PROD-00088,Electronics,Home Appliance,Home Appliance Model-702
PROD-00089,Grocery_FMCG,Cooking Oil,Cooking Oil Model-325
PROD-00090,Garments,Saree,Saree Model-380
PROD-00091,Electronics,Power Bank,Power Bank Model-181
PROD-00092,Home_Living,Bedding,Bedding Model-951
PROD-00093,Beauty_Health,Skincare,Skincare Model-750
PROD-00094,Beauty_Health,Makeup,Makeup Model-869
PROD-00095,Garments,Panjabi,Panjabi Model-297
PROD-00096,Garments,Saree,Saree Model-549
PROD-00097,Electronics,Home Appliance,Home Appliance Model-521
PROD-00098,Electronics,Smartphone,Smartphone Model-685
PROD-00099,Beauty_Health,Skincare,Skincare Model-885
PROD-00100,Garments,Jeans,Jeans Model-206
